Table A22,,,,,,,,,,,,,,,
Household expenditure by socio-economic classification of household reference person,,,,,,,,,,,,,,,
"UK, financial year ending 2018",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Large,Higher,Lower,Inter-,Small,Lower,Semi-,Routine,Long-,Students,Occupation,All
,,,,employers,profess-,manag-,mediate,employ-,super-,routine,,term,,not stated2,house-
,,,,and higher,ional,erial and,,ers,visory,,,unem-,,,holds
,,,,manag-,,profess-,,,,,,ployed1,,,
,,,,erial,,ional,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Weighted number of households (thousands),,,,"1,070 ","2,900 ","5,510 ","1,780 ","1,980 ","1,450 ","1,980 ","1,670 ",390 ,410 ,"8,010 ","27,150 "
Total number of households in sample,,,,200 ,570 ,"1,080 ",370 ,370 ,280 ,410 ,340 ,80 ,70 ,"1,640 ","5,410 "
Total number of persons in sample,,,,590 ,"1,530 ","2,870 ",880 ,"1,030 ",810 ,"1,040 ",890 ,170 ,200 ,"2,770 ","12,780 "
Total number of adults in sample,,,,430 ,"1,120 ","2,100 ",670 ,750 ,580 ,750 ,640 ,110 ,140 ,"2,650 ","9,940 "
,,,,,,,,,,,,,,,
Weighted average number of persons per household,,,,3.0,2.7,2.7,2.4,2.9,2.9,2.6,2.7,2.1,2.7,1.7,2.4
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Commodity or service,,,,,Average weekly household expenditure (£),,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,Food & non-alcoholic drinks,,,78.10,71.00,67.10,60.70,70.10,65.40,59.20,59.30,44.20,48.30,50.30,61.00
,,,,,,,,,,,,,,,
2,"Alcoholic drinks, tobacco & narcotics",,,14.20,13.10,13.60,13.40,15.30,13.90,13.70,13.70,4.50,7.70,10.60,12.60
,,,,,,,,,,,,,,,
3,Clothing & footwear,,,41.20,36.30,33.80,20.70,26.00,33.20,22.20,17.30,10.70,29.90,13.80,24.70
,,,,,,,,,,,,,,,
4,"Housing (net)3, fuel & power",,,78.40,95.50,87.20,76.10,92.10,84.00,83.10,87.70,56.80,164.50,48.20,76.20
,,,,,,,,,,,,,,,
5,Household goods & services,,,71.20,58.50,58.10,33.70,43.50,38.70,22.40,22.30,15.70,19.30,30.70,40.90
,,,,,,,,,,,,,,,
6,Health,,,8.90,11.00,7.20,8.00,6.70,7.40,3.90,2.70,1.60,2.70,7.00,7.00
,,,,,,,,,,,,,,,
7,Transport,,,149.20,121.20,112.10,78.20,93.70,91.30,64.30,54.70,24.50,60.60,45.60,81.20
,,,,,,,,,,,,,,,
8,Communication,,,25.70,21.80,22.10,18.80,20.20,20.70,16.80,18.20,8.90,14.70,12.00,17.90
,,,,,,,,,,,,,,,
9,Recreation & culture,,,146.60,104.90,93.40,64.70,78.90,68.40,50.50,47.40,29.50,54.90,59.60,75.00
,,,,,,,,,,,,,,,
10,Education,,,43.80,11.60,9.00,[2.50],7.10,[4.60],[0.90],[1.70],..,[114.40],2.60,8.70
,,,,,,,,,,,,,,,
11,Restaurants & hotels,,,101.90,77.50,68.70,45.40,58.20,50.40,34.50,28.90,14.20,56.90,29.90,50.30
,,,,,,,,,,,,,,,
12,Miscellaneous goods & services,,,73.70,60.40,56.50,43.10,43.00,43.00,33.10,30.90,13.80,33.40,32.80,43.80
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1-12,All expenditure groups,,,832.80,682.70,628.80,465.40,554.90,520.80,404.50,384.70,243.60,607.20,343.10,499.20
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
13,Other expenditure items,,,167.50,128.00,103.40,64.80,76.50,67.40,50.40,51.60,18.90,44.10,47.70,76.50
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total expenditure,,,,1000.30,810.60,732.20,530.20,631.40,588.30,454.90,436.30,262.50,651.40,390.80,575.70
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Average weekly expenditure per person (£),,,,,,,,,,,,,,,
Total expenditure,,,,334.00,298.80,274.50,218.60,219.30,200.20,173.70,160.70,122.20,245.80,234.20,240.20
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Note: Changes to categories of socio-economic classification were made in 2011. See Appendix B for details.,,,,,,,,,,,,,,,
The commodity and service categories are not comparable to those in publications before 2001-02.,,,,,,,,,,,,,,,
Please see background notes for symbols and conventions used in this report.,,,,,,,,,,,,,,,
1 Includes those who have never worked.,,,,,,,,,,,,,,,
2 Includes those who are economically inactive.,,,,,,,,,,,,,,,
"3 Excludes mortgage interest payments, council tax and Northern Ireland rates.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,,,,
